seed,device,total_labels,arm,overall_accuracy,common_accuracy,rare_rule_accuracy,stochastic_pocket_accuracy,active_experts,birth_count,rare_rule_births,stochastic_false_births,surprise_rate,proposal_count,stochastic_rejections,expected_uncertainty_expert_0,rare_switch_margin_mean,stochastic_switch_margin_mean,forward_work,backward_work
3,cuda,1024,unvalidated,0.7866666316986084,0.8140053153038025,0.9216216206550598,0.4999999701976776,3,2,1,1,0.095703125,2,0,0.10700389105058365,10.529482950390715,-14.602205288704186,82173,76324
3,cuda,1024,joint,0.7866666316986084,0.8140053153038025,0.9216216206550598,0.4999999701976776,2,1,1,0,0.095703125,2,1,0.17315175097276264,11.22263013095066,-14.602205288704186,64709,58924
3,cuda,1024,environment_oracle,0.8600000143051147,0.9054415225982666,0.9810811281204224,0.4819587469100952,3,0,0,0,0.0,0,0,,,,19096,5760
3,cuda,1536,single,0.8193333148956299,0.9121320247650146,0.6000000238418579,0.49226802587509155,1,0,0,0,0.0,0,0,0.20233463035019456,,,6072,1536
3,cuda,1536,raw_loss,0.8729999661445618,0.952274739742279,0.8081081509590149,0.47680410742759705,2,1,1,0,0.072265625,1,0,0.17120622568093385,30.848003017608374,,48049,41876
3,cuda,1536,expected_only,0.8193333148956299,0.9121320247650146,0.6000000238418579,0.49226802587509155,1,0,0,0,0.162109375,0,0,0.0019455252918287938,,,6072,1536
3,cuda,1536,unvalidated,0.8330000042915344,0.9014272689819336,0.7918919324874878,0.47680410742759705,3,2,1,1,0.06510416666666667,2,0,0.188715953307393,10.529482950390715,-14.602205288704186,84221,76836
3,cuda,1536,joint,0.8330000042915344,0.9014272689819336,0.7918919324874878,0.47680410742759705,2,1,1,0,0.07161458333333333,2,1,0.17120622568093385,11.22263013095066,-14.602205288704186,66245,59436
3,cuda,1536,environment_oracle,0.8946666717529297,0.9652096033096313,0.8864865303039551,0.49484533071517944,3,0,0,0,0.0,0,0,,,,21144,5760
4,cuda,512,single,0.6803333163261414,0.7207285761833191,0.5609756112098694,0.5292307734489441,1,0,0,0,0.0,0,0,0.31712062256809337,,,4024,512
4,cuda,512,raw_loss,0.8303333520889282,0.9167389869689941,0.5609756112098694,0.5230769515037537,2,1,0,0,0.1015625,1,0,0.26875,,,45026,40712
4,cuda,512,expected_only,0.6803333163261414,0.7207285761833191,0.5609756112098694,0.5292307734489441,1,0,0,0,0.173828125,0,0,0.17411764705882352,,,4024,512
4,cuda,512,unvalidated,0.7863333225250244,0.8620988726615906,0.5392953753471375,0.5292307734489441,2,1,0,0,0.0859375,1,0,0.3070539419087137,,,25673,21492
